material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
AlP,zb,kpt,k12x12x12,-11.40860571,-5.704302855,./convergence_tests_LDA/AlP/conv_kpt/k12x12x12,LDA
AlP,zb,kpt,k4x4x4,-11.3053462,-5.6526731,./convergence_tests_LDA/AlP/conv_kpt/k4x4x4,LDA
AlP,zb,kpt,k6x6x6,-11.39905357,-5.699526785,./convergence_tests_LDA/AlP/conv_kpt/k6x6x6,LDA
AlP,zb,kpt,k8x8x8,-11.40751568,-5.70375784,./convergence_tests_LDA/AlP/conv_kpt/k8x8x8,LDA
AlSb,zb,encut,E300,-9.26493148,-4.63246574,./convergence_tests_LDA/AlSb/conv_cutoff/E300,LDA
AlSb,zb,encut,E400,-9.26725995,-4.633629975,./convergence_tests_LDA/AlSb/conv_cutoff/E400,LDA
AlSb,zb,encut,E500,-9.26749052,-4.63374526,./convergence_tests_LDA/AlSb/conv_cutoff/E500,LDA
AlSb,zb,encut,E600,-9.26757094,-4.63378547,./convergence_tests_LDA/AlSb/conv_cutoff/E600,LDA
AlSb,zb,encut,E700,-9.26767693,-4.633838465,./convergence_tests_LDA/AlSb/conv_cutoff/E700,LDA
AlSb,zb,kpt,k10x10x10,-9.27370676,-4.63685338,./convergence_tests_LDA/AlSb/conv_kpt/k10x10x10,LDA
AlSb,zb,kpt,k12x12x12,-9.27415448,-4.63707724,./convergence_tests_LDA/AlSb/conv_kpt/k12x12x12,LDA
AlSb,zb,kpt,k4x4x4,-9.1376779,-4.56883895,./convergence_tests_LDA/AlSb/conv_kpt/k4x4x4,LDA
AlSb,zb,kpt,k6x6x6,-9.25724185,-4.628620925,./convergence_tests_LDA/AlSb/conv_kpt/k6x6x6,LDA
AlSb,zb,kpt,k8x8x8,-9.27141051,-4.635705255,./convergence_tests_LDA/AlSb/conv_kpt/k8x8x8,LDA
BAs,zb,encut,E300,-12.8872788,-6.4436394,./convergence_tests_LDA/BAs/conv_cutoff/E300,LDA
BAs,zb,encut,E400,-12.89800463,-6.449002315,./convergence_tests_LDA/BAs/conv_cutoff/E400,LDA
BAs,zb,encut,E500,-12.89830544,-6.44915272,./convergence_tests_LDA/BAs/conv_cutoff/E500,LDA
BAs,zb,encut,E600,-12.89931747,-6.449658735,./convergence_tests_LDA/BAs/conv_cutoff/E600,LDA
BAs,zb,encut,E700,-12.89993568,-6.44996784,./convergence_tests_LDA/BAs/conv_cutoff/E700,LDA
BAs,zb,kpt,k10x10x10,-12.8989187,-6.44945935,./convergence_tests_LDA/BAs/conv_kpt/k10x10x10,LDA
BAs,zb,kpt,k12x12x12,-12.89925345,-6.449626725,./convergence_tests_LDA/BAs/conv_kpt/k12x12x12,LDA
BAs,zb,kpt,k4x4x4,-12.72182408,-6.36091204,./convergence_tests_LDA/BAs/conv_kpt/k4x4x4,LDA
BAs,zb,kpt,k6x6x6,-12.88019141,-6.440095705,./convergence_tests_LDA/BAs/conv_kpt/k6x6x6,LDA
